Komentar,Bintang,Tanggal
aplikasi ini bisa mendeteksi gempa,5,2024-11-10 06:49:56
A.S,5,2024-11-09 12:37:20
",👍",5,2024-11-08 20:33:24
"Untuk keseluruhan, sudah bagus. Saran saya tambah mode gelap ke aplikasi ini.",5,2024-11-07 20:31:39
Cukup bagusss,4,2024-11-07 20:12:37
Cukup bagus,5,2024-11-07 10:34:57
ok,5,2024-11-07 09:30:47
Bagus.twrima kasih atas INFONYA,5,2024-11-07 09:02:39
خزغة٥ م،، ٥زع,4,2024-11-05 19:53:22
Cuaca Terbaik 😇,5,2024-11-05 18:20:13
Aplikasi nya sangat informatif dan membantu,5,2024-11-04 13:30:37
sangat membantu sekali pada setiap kondisi.,5,2024-11-04 10:59:07
Ok,5,2024-11-04 10:58:25
"Selalu mengikuti,untuk mendapatkan info terkini tentamg fenomena iklim",4,2024-11-03 19:39:32
Bagus sekali,5,2024-11-03 15:27:20
Mantap dan pas sesuai prediksi,5,2024-11-03 13:25:42
mantap beritanya,5,2024-11-03 10:23:40
Oke,4,2024-11-03 07:00:37
RIVALDI RISTIANDI PRATAMA,5,2024-11-03 04:45:37
Sangat bermanfaat.,5,2024-11-02 21:27:46
Berkat kalian saya jadi tahu informasi tentang cuaca dan cara menanganinya,5,2024-11-02 18:21:14
Aplikasinya Bagus Tolong Perbaiki Yang Kondisi Cuaca Nya Yang Cerah Tanpa Awan Gak Ada Lambang Matahari Gitu Tolong Perbaiki Lah,5,2024-11-02 15:02:28
Wow keren 🥳🥳🥳,5,2024-11-02 14:50:15
Mantap,5,2024-11-02 12:52:55
"halo, bisakah tambahkan mode gelap?",5,2024-11-02 02:08:23
Saya suka ini,5,2024-11-01 22:18:21
Mantap,5,2024-11-01 18:41:24
"Aplikasi yang bagus, semoga bisa mengupdate lebih akurat lagi perihal cuaca setempat",5,2024-11-01 15:56:50
Bagus pokonya👍,5,2024-11-01 15:23:29
Terima kasih,5,2024-11-01 13:54:55
"Informasi yang diberikan sangat bermanfaat serta selalu terupdate sehingga dapat membantu orang - orang untuk waspada lebih dini sebelum musibah datang, terimakasih sudah menciptakan APK ini, tingkatkan terus APKnya agar lebih baik dan lebih baik lagi kedepannya. Saya terkhusus In Shaa Allah, akan terus membantu update info BMKG melalui status Saya, yang mungkin akan sangat bermanfaat bagi keluarga dan teman2 yang ada dikontak Saya.",4,2024-11-01 13:30:38
Sangat membantu Sekali,5,2024-11-01 13:22:32
Baru coba,4,2024-11-01 13:04:05
Sangat membantu,4,2024-11-01 11:57:59
Memantau cuaca jadi lebih mudah dengan aplikasi ini,5,2024-11-01 07:39:01
Good,5,2024-11-01 00:40:23
Updatenya SDH bagus tapi agak telat,4,2024-10-31 22:00:51
Mantap sangat membantu👍👍,5,2024-10-31 21:39:38
Sangat membantu dalam menerima info cuaca dan yang lainnya,5,2024-10-31 18:46:22
Bagus cuma kadang eror kenapa ya apakah hp saya yg kentang,3,2024-10-31 18:31:08
Bagud,5,2024-10-31 17:16:32
Stuck di display putih tengahnya hanya ada logo BMKG nya saja. Sudah semingguan dipantau dan tetap sama. Auto uninstall.,1,2024-10-31 15:10:00
Ok,5,2024-10-31 09:06:02
tolong tambahin mode gelap dong,4,2024-10-31 07:57:45
Sangat membantu kewaspadaan saat sebelum terjadi hujan,5,2024-10-31 06:33:21
Bagus aplikasinya sangat membantu.,4,2024-10-31 05:51:34
Tolong tampilkan juga hilal setiap bulan. Suoaya nggak ribut terus saat idul fitri sama awal ramadhan terus,5,2024-10-31 05:23:20
"Udah abis gempa baru dikasi tau ada gempa, ini aplikasi peringatan gempa apa perayaan gempa ?",1,2024-10-31 04:19:55
Bermanfaat sekali untuk mendapat informasi👍👍👍,5,2024-10-31 02:18:47
Ok mntap,5,2024-10-31 00:33:45
Sangat membantu dalam saya menjalankan tugas,5,2024-10-31 00:15:57
Sangat bermanfaat,5,2024-10-31 00:01:20
𝗔𝗸𝘂 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗻𝘆𝘂𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶 𝗯𝗲𝗻𝗰𝗮𝗻𝗮 𝗮𝗹𝗮𝗺 indonesia,5,2024-10-30 18:53:07
membantu untuk beraktifitas kerja dilapangan,5,2024-10-30 18:14:35
Sekarang lahi hujan,5,2024-10-30 16:44:16
🥰,5,2024-10-30 12:18:07
sangat bermanfaat untuk kami petani,5,2024-10-30 12:15:09
"Alhamdulilla membantu, saya sarankan lebih akurat lagi",4,2024-10-30 11:55:18
ok,5,2024-10-30 11:39:32
"Sangat penting ,kita bida tahu keadaan alam kedepannya...trims",5,2024-10-30 11:21:49
Bagus aplikasinya,4,2024-10-30 11:21:41
sy berharap ada mode gelap di update berikutnya. silau sekali dengan latar putih,4,2024-10-30 10:59:01
Maaf kak bmkg anda telat memberikan informasi tentang bencana alam,1,2024-10-30 10:55:40
Nice aplikasi,5,2024-10-30 09:35:54
Infonya kok tidak up date ya,4,2024-10-30 09:06:04
Informasi suhu cuaca real-time tidak serasi dengan sumber lainnya,3,2024-10-29 20:01:15
I love BMKG Gowa,5,2024-10-28 18:03:56
"Cukup akurat.. Tapi tolong untuk cuaca di bagusin interfacenya.. Dlm bentuk tabel ke bawah aja lbh bgs,dan di beri tanggal nya jg.. Cape saya scroll2 nya untuk liat cuaca ampe 1-2 minggu ke dpn..semoga di respon dan di perbaiki.. Terima kasih",5,2024-10-28 15:29:53
Keren banget,5,2024-10-27 17:49:07
Semangat terus BMKG dalam mengembangkan aplikasi nya. Satu-satunya aplikasi pemerintah yang saya sukai,5,2024-10-26 13:02:05
"Overall aplikasinya sudah bagus, tetapi tolong dong min untuk notifikasi gempa di munculkan saat gempa yang letak lokasinya dekat dengan lokasi user jangan munculkan setiap ada gempa yang jarak lokasinya jauh dari user. rada risih soalnya",2,2024-10-25 00:34:40
"Sangat membantu, saat ada gempa jadi tau dimana lokasi nya",5,2024-10-24 07:29:11
Just helpful,5,2024-10-24 04:24:40
Crash mulu appnya setidaknya ga terlalu up to date alrmnya aplikasinya yg bagus,1,2024-10-23 12:22:28
Prediksi cuaca tidak akurat..,1,2024-10-22 20:53:42
Pengiriman Informasi gempa terlalu lambat,3,2024-10-21 17:21:11
Bagus aku suka,5,2024-10-21 16:31:09
Mantap,5,2024-10-20 16:41:14
tolong buatin widget sekalian min,5,2024-10-19 23:27:43
kesini karena rekomendasi mimin shina,5,2024-10-18 16:26:45
Mohon tambahin fitur widget biar masyarakat tau posisi cuaca lokasi sekitar...,4,2024-10-16 10:44:42
👍💯,5,2024-10-15 15:00:06
Sudah oke,5,2024-10-14 17:27:03
Bnkg emang sanggat bagus sekali,5,2024-10-14 15:20:54
Tampilan di tablet untuk kotak cuaca per jam suka terpotong.,4,2024-10-13 08:06:55
Ok!!,5,2024-10-12 17:04:29
ok,5,2024-10-10 21:35:00
Sangat bermanfaat,5,2024-10-10 17:19:19
"Pendeteksi Gempa Bumi Dan Peringatan Tsunami, Peringatan Gunung Meletus, Informasi Cuaca Akurat,serta Perubahan Yang terbaik untuk latar belakang tersebut..",4,2024-10-10 06:41:47
"bagus, mengtahui sangat berfungsi dengan baik",4,2024-10-09 19:18:21
Bagus dan akurat,5,2024-10-09 18:50:14
Sayang aplikasinya telat update.kalo ada gempa,1,2024-10-08 21:20:52
mantap,5,2024-10-08 20:40:15
mantab 👍😁,5,2024-10-07 18:12:35
sangat kurang akurat,2,2024-10-07 11:44:27
Terima kasih.Sangat membantu masyarakat,5,2024-10-06 07:25:26
bagus lengkap akurat 👍👍👍,5,2024-10-06 05:25:38
Untuk melihat jam pasang atau surutnya air laut saya masih belum menemukannya.,4,2024-10-05 13:57:39
Perkiraan cuacanya ngawur banget. SDM dan teknologinya katrok.,1,2024-10-05 03:04:35
sangat cocok,4,2024-10-04 22:39:38
Good,5,2024-10-04 19:26:11
"kak aplikasi punya saya kepencet bahasa inggris, mau di kembalikan bahasa Indonesia tidak bisa, mohon petunjuk nya biar bisa bahasa Indonesia lagi. nanti kalau sudah bisa bahasa Indonesia saya ganti rating, terimakasih.",3,2024-10-04 11:46:31
Sangat membantu informasi,4,2024-10-02 10:05:04
bagusb,5,2024-10-01 21:32:50
Terimakasih BMKG apk ini sangat membantu🙏🙏,5,2024-10-01 17:52:01
Oya sebelum nya saya nyuwun ngampunten geh mas saya belum dapat bantuan dari bansos atas nama pak budi prasetyo di jragung jogotirto berbah sleman rt 05 rw 02 kelurahan jogotirto berbah sleman kecamatan nya berbah sleman yogyakarta mas Terima kasih mas,5,2024-10-01 10:15:40
membantu banget buat saya yang mau mantau daerah gunung yang mau saya daki,5,2024-09-30 12:17:05
Sering tepat prakiraan cuaca.,5,2024-09-30 01:49:32
Sangat akurat dan membantu,5,2024-09-28 14:24:05
"notifikasinya gk akurat gempa udah selesai, ini notfikasi peringatan gempa baru datang. Hadeh 😒",1,2024-09-26 15:19:50
Sangat membantu,5,2024-09-26 11:50:07
"Kenapa notifikasi gempa bumi tidak aktif lagi saat ini...saya download aplikasi ini buat itu...agar saya merasa tenang, karena saya punya keluarga di daerah rawan gempa/tsunami (Padang)...",4,2024-09-26 11:20:01
Menu Radar di apl nya gak bisa kebuka 😐😓,3,2024-09-26 01:45:57
Saya langsung kasih 5 walaupun mau coba...,5,2024-09-25 20:49:54
intinya berguna,5,2024-09-25 16:19:23
"Tolong tambahkan banyak kota dibagian kualitas udara, karena bagian itu masih sedikit, atau tidak ada pilihan wilayah pengguna. Dan juga tambah fitur zoom gambar dibagian peringatan cuaca. Terima kasih.",1,2024-09-25 14:01:35
"Aplikasinya mengalami peningkatan pesat, baik dari tampilan maupun fiturnya",5,2024-09-25 13:45:57
Baru coba,5,2024-09-25 09:09:46
Good,5,2024-09-24 18:57:46
"Ngasih info selalu telat, baru kejadian dikasih tau, seharusnya sebelum kejadian kasih tau.. contoh saat hujan",2,2024-09-24 17:54:45
"Notif tdk akurat..cuaca oanas,masa notifnya badai akan dtg lalu hujan..nah panas sekali dimakassar,rusak kali alat kalian",4,2024-09-24 11:54:48
"Aplikasinya bagus, lebih bagus lagi di kasih peringatan dini seperti di jepang",5,2024-09-24 10:44:37
Terbaik,5,2024-09-24 10:24:55
"Aplikasi ini perfect, dengan fitur yg mudah dipahami dan memberikan informasi yg kompleks. Perkembangan yg keren dari versi sebelumnya",5,2024-09-24 08:18:37
Sangat mendukung,5,2024-09-24 07:17:52
"diprediksi hujan berpetir, hujan nggak ada petir nggak ada ... prediksi cerah berawan malahan turun hujan",1,2024-09-23 20:16:46
Sangat membantu,5,2024-09-23 19:37:52
Masih mencoba. Smoga bagus.,4,2024-09-23 18:31:48
"Bagus Tapi kalau ada gempa 3 SR, 4 SR kok nggak muncul di notif ya. Kenapa ya",4,2024-09-22 20:30:15
Baru coba,5,2024-09-22 12:42:40
Bmkg knp ya sekarang kalau ada gempa tidak ada pmberitahuan nya,3,2024-09-21 21:01:55
mantap untuk informasi cuaca,4,2024-09-21 20:05:19
Aplikasi setelah bencana kalau ini bukan aplikasi sebelum bencana.. 1 menit setelah gempa aja ga ada notif dimana letak gempa belum Ter update...,1,2024-09-21 12:28:04
luar biasa,5,2024-09-21 06:48:17
Payah ada gempa tapi ga ada notif nya.,1,2024-09-21 06:39:04
Update informasi tentang gempa terkini sangat amat lama. Bahkan tadi sudah 10 menit belum ada informasi tentang gempa yang baru saja terjadi.,1,2024-09-21 06:39:02
Udah bagus tapi notifikasi gempanya lambat banget masuk 1 jam setelah gempa terjadi baru ada data kordinat masuk,3,2024-09-21 06:35:19
"Tidak update, padahal barusan ada gempa tpi tidak mncul",2,2024-09-21 06:34:41
Tidak bisa kasih peringatan dini sebelum adanya gempa dan notifikasi gempa yang terjadi tidak up to date,1,2024-09-21 06:33:42
Tidak update,1,2024-09-21 06:33:31
Kenapa baru² ini tidak ada notifikasi adanya gempa? Mohon diperbaiki kedepannya.. Terimakasih,4,2024-09-21 01:28:00
Bmkg emang the best,5,2024-09-20 19:55:26
Mantap,5,2024-09-20 07:20:05
Ya demi keselamatan lah,5,2024-09-20 00:32:55
Mantap sangat membantu👌,5,2024-09-19 14:34:42
TOLONG PERBAIKI TIDAK ADA LAGI NOTIFIKASI GEMPA,1,2024-09-18 22:34:22
Alhamdulillah sangat bermanfaat,5,2024-09-18 20:49:49
Terimakasih.semoga memberi manfaat sesuai yang di butuhkan,5,2024-09-18 17:56:34
Bagus dan bermanfaat,5,2024-09-18 16:03:22
Sangat membantu,5,2024-09-18 13:51:15
Sangat membantu,5,2024-09-18 10:37:00
Tidak sesuai dengan keadaan. Di apk berawan aslinya hujan.,1,2024-09-18 06:20:42
"bgus aplikasi nya, semoga bisa diandalkan kayak aplikasi "" peringatan dini seperti di jepang, untuk yg kasih masukan untuk menambahkan live chat di aplikasi, atau komentar gitu, setuju sih saya.",5,2024-09-17 13:41:34
"Makin sini notif gempa makin ga ada, padahal hari ini gempa sukabumi dan deket ke aku. Tapi ga ada notif sama sekali.",3,2024-09-16 19:24:33
"Ckp membantu, semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly...bravo BMKG",4,2024-09-16 19:10:03
Notif gempa tidak ada ?,3,2024-09-16 09:50:02
Baik,5,2024-09-16 09:27:37
Sangat membantu,5,2024-09-16 08:50:35
Sangat bermanfaat,5,2024-09-16 01:10:50
Ok,5,2024-09-15 23:47:34
Ini kenapa sudah 1bulan notif bmkg ga muncul ya kalo tidak dibuka ke apknya . Biasanya ada terus lho min. Dan ket sett apk itu on notif,5,2024-09-15 18:01:37
Admin kenapa tidak notifikasi gempa seperti dulu? Tolong kembalikan notif setiap ada gempa,5,2024-09-15 12:34:57
pas sebelum gempa palu saya download ini pas saya liat mengtudo sangat sangat besar makasih BMKG anda telah membantu saya dan keluarga saya makasih,5,2024-09-14 18:11:00
Info Penting harus punya 🙂,5,2024-09-14 17:01:01
"Gak ada kualitas udara di jawa tengah,jawa barat, jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia",5,2024-09-13 22:35:28
Bagus,4,2024-09-12 18:12:56
"Terkadang d aplikasi ini tidak sesuai dengan d aplikasi, aplikasi timur tapi cuaca menunjukan ke salatan MTA arah angin.....tolong d perbaiki lagi",1,2024-09-12 09:49:41
Sangat baik,5,2024-09-12 03:17:25
Mending pemerintah kerjasama dgn negara jepang tentang teknologi nya agar sekian detik sbelum terjadinya gempa kita tidak terlalu kaget dgn adanya gempa,1,2024-09-12 01:13:13
"Tolong diperbaiki, pemberitahuan info gempa tidak muncul... padahal handphone sudah sy reset pengaturan pabrik",1,2024-09-11 19:31:07
Sangat membantu,5,2024-09-11 09:29:00
tidak ada widget update cuaca 24 jam! kalah sama aplikasi sejenis! harusnya bmkg mengadakan widget cuaca 24 jam agar kita tidak perlu masuk ke aplikasinya jika ingin update cuaca.!,1,2024-09-11 08:12:48
"Desain simple dan bagus, mudah di pahami berserta memberi glorasium untuk memahami istilah yang masih asing di orang awam. Saya berterima kasih pada app ini...",5,2024-09-10 22:26:44
Punya belajar apk my shake penjelasan apk BMKG sebelum jepang gempa besar teknologi 1 Januari 2024,1,2024-09-10 16:36:44
"Kadang heran ini bmkg ya,, prakiran atau gimna si,, sudah terjadi baru kasih info,, seperti hujan saja hujan sudah reda keluar peringatan info terkini katanya akan di guyur hujan, heyyy saya sudah tau hujan nya juga sudah reda",3,2024-09-10 13:01:31
Jelek,1,2024-09-09 16:29:47
Sangat membantu informasinya.,5,2024-09-09 10:51:06
Aplikasi yg baru utk masyarakat. Mohon ada notifikasi atau pemberitahuan bila mana ada gempa bumi yg terdekat dengan pengguna Atau ada settingan notifikasi. Terima kasih,5,2024-09-09 10:38:01
"Bikin hp psnas padahal sedang tidak digunakan, setelah uninstall hp menjadi dingin kembali",1,2024-09-09 05:21:54
Apk ini sangat bermanfaat bagi saya trimakasih atas karya nya..,5,2024-09-08 20:14:27
"Cuaca lokal sering nya kurang tepat dgn keadaan sebenarnya. Terkadang juga sedikit terlambat. Utk saat ini, saya kasih bintang 3,5 deh",4,2024-09-08 12:58:28
Kalau bisa tambahin Mode Gelap dong......karena mata saya ga bisa liat layar terang terlalu lama🙏🏼,5,2024-09-08 06:28:32
Kirim info test test ga jelas developer nya,1,2024-09-08 05:49:36
Sangat sangat tidak akurat,1,2024-09-07 23:01:17
Untuk aplikasinya akurat cuman ada yang kurang yaitu tambahin widget dong,4,2024-09-07 22:47:55
"Ini kok ada notice tertulis "" test test "" dari BMKG ya ? 7 sept 2024 jam 22.16",3,2024-09-07 22:18:00
Hai bisa tambah hin pendeteksian organisasi eropa German supaya Kalimantan tidak di kuasai eropa German secara diam diam,5,2024-09-07 11:23:15
"Informasi sangat lambat, saat ada gempa bumi tidak langsung update infonya Menunggu sampai 10mnt lebih baru keluar infonya Kalo semisal ada bencana lebih parah bisa bisa sudah porak poranda baru muncul peringatannya Sedangkan bencana gempa bumi ataupun sunami bisa terjadi dalam hitungan detik saja",3,2024-09-07 10:07:02
"2x kek gini, lelet amat update info gempa. Keburu mati dulu baru ada notifikasi.",1,2024-09-07 09:08:15
cukup,4,2024-09-07 09:07:36
Pemberitahuannya sangat lambat,1,2024-09-07 09:00:09
Aplikasi tolol gempa besar lambat update,1,2024-09-07 09:00:01
Lama update gempa,2,2024-09-07 08:57:03
"Aplikasi nya sangat membantu sekali,dan baik sekali ,dan semoga kedepan nya ada pengaturan tentang peringatan alaram sebelum akan terjadinya bencana biar lebih waspada lagi dalam peringatan nya... dan aplikasinya lebih baik lagi ... semoga lebih cepat pas ada gempa ,gpp dri yang lebih kecil gempanya infoin aja biar tau cepat ,terimakasih",5,2024-09-07 02:51:41
Terbantu,5,2024-09-06 16:25:04
Bagus,5,2024-09-06 15:48:01
"Hai team BMKG sebenarnya aplikasi nya sudah bagus untuk pengetahuan kita kalangan Masyarakat Namun masih banyak yg kekurangan nya Dan Tolong di perbaiki lagi update cuaca nya kadang masih ga akurat untuk info cuaca hr ini contoh nya info BMKG akan terjadi hujan, setalah cek ternyata ga ada hujan Tolong di perbaiki lagi ya Terima kasih",3,2024-09-05 20:10:38
Up to date information,5,2024-09-05 16:03:40
Bagus cocok,5,2024-09-05 05:59:22
Saya juga mersakan ada nya guncangan tadi siang,5,2024-09-04 20:16:12
Sangat bermanfaat,5,2024-09-04 13:37:57
Cara mengetahui gempanya berpotensi tsunami bagaimana yah??,4,2024-09-04 13:14:35
"Apknya sudah bagus bisa mengetahui cepat/realtime info cuaca, gempa bumi, kondisi udara, yang saya tanyakan benar tidak info akan adanya gempa megathurst di indonesia? mohon dari pihak BMKG jelaskan terimakasih",5,2024-09-03 18:35:36
ok,5,2024-09-03 16:27:38
Dapat memantau langsung titik gempa dan peringatan cuaca dini hari,5,2024-09-02 22:01:12
Pas,5,2024-09-01 00:39:35
Bagus,5,2024-08-30 20:05:37
Paan si gkjls GAK AKURAT,1,2024-08-30 18:04:01
Sangat bermanfaat sekali krn bisa tau di Wilayah mn aj yg terkena musibah dan pemberitahusn nya pun jg cepat sekali,5,2024-08-29 20:32:41
Good info,5,2024-08-29 18:04:19
Tidak ada notifikasi pemberitahuan Kalo mau tau ada gempa atau tidaknya harus buka aplikasi dulu,1,2024-08-29 10:53:22
Mantap,5,2024-08-29 07:28:21
Kumaha Allah,5,2024-08-28 18:30:27
Sangat berguna,5,2024-08-28 17:54:55
Ok,4,2024-08-28 04:12:05
makasih info infonya,5,2024-08-28 01:02:13
good sustainable,5,2024-08-27 21:42:07
"Sya pakai aplikasi ini untuk ngecek cuaca dan info gempa bumi di setiap daerah, mantap pokokonya Aplikasi ini",5,2024-08-27 13:15:48
"Bagus sudah, tapi coba tolong min aktifkan alarm gempa, 1 menit kek sebelum kejadian🥹",5,2024-08-27 05:22:10
👍👍👍,4,2024-08-27 00:22:23
sangat berguna,5,2024-08-26 23:26:14
good slalu berkembang,5,2024-08-26 21:30:00
Bisa dg cepat mengetahui pusat gempa,1,2024-08-26 20:56:20
Usulan usahakan sebelum terjadi kejadian diinfokan dulu notif nya biar masyarakat bisa tau dan jaga jaga terima kasih,1,2024-08-26 20:56:12
Good,5,2024-08-26 20:36:36
pembodohan,1,2024-08-26 20:23:33
Good,5,2024-08-26 20:19:21
bagus bangaet bisa melihat gempa,5,2024-08-26 20:15:06
Oke bmkg,5,2024-08-26 20:13:00
Barusan ada gempa langsung ada notif waahh mbantu banget!!,5,2024-08-26 20:00:04
Sangat bermepaat buat saya,5,2024-08-26 14:13:38
bagus,5,2024-08-26 12:09:11
Download aplikasi ini untuk jaga-jaga megatrust.!!,5,2024-08-26 05:24:24
Muhammad Fateh Khaakaa,5,2024-08-26 03:59:22
Selalu update informasi dgn cepat,5,2024-08-25 20:29:40
Sangat bagus aplikasi tidak berat dan membantu Semoga tidak ada iklan,5,2024-08-25 18:51:54
Jaga jaga kalo ada bencana,5,2024-08-25 08:52:30
Sampaikan ke BMKG utk meletakkan ribuan alarm gempa di bagian dalam sumur² milik instansi atau warga atau membuat ribuan sumur sendiri dgn kedalaman ribuan meter yg dekat dgn akses wifi terdekat atau dgn kabel optik ke akses internet yg terhubung ke aplikasi. ini. Lalu semua hape diwajibkan ada aplikasi ini sehinggga jika terjadi gempa maka alarm central over the top pada aplikasi ini akan berbunyi keras untuk memperingatkan semua orang yg tinggalnya 10-100 km dari lokasi gempa.,1,2024-08-25 06:21:11
Good.................,5,2024-08-25 05:44:39
bertindak setelah terjadi,1,2024-08-24 19:37:14
berita sangat akurat,5,2024-08-24 17:16:22
Mantap infox,5,2024-08-24 14:35:51
Sangat penting,5,2024-08-23 21:58:39
Sangat membantu pokoknya mantap,5,2024-08-23 14:28:46
Sangat membantu untuk mengetahui cuaca saat ini,5,2024-08-23 13:11:47
Tampilan informasi sudah cukup bagus. Saran : bagian dashboard dibuat untuk user bisa save beberapa lokasi prakiraan cuaca dan dapat ditampilkan secara bersamaan. Terimakasih,5,2024-08-23 07:13:40
Aplikasi ini sangat 2 berguna bagi untuk informasi gempa bumi tolong di upload lagi ya agar informasi gempa ketauan di hp ya terimakasih,5,2024-08-22 22:30:56
"Sok2an bilang mau gempa sampai mau sunami,gempa kecil sj GK bs lu prediksi apalagi yg gede ,cih",1,2024-08-22 18:29:53
Okay banget loh kak,5,2024-08-22 17:55:35
megathrust meresahkan,5,2024-08-22 16:07:14
Terimakasih,5,2024-08-22 09:06:57
Apakah aplikasi mempunyai akses super user.. Untuk pemberintahun alarm peringatan,5,2024-08-22 00:43:38
"Coba di percepat pemberitahuannya di BMKG utk gempa bumi, nanti 10 menit stelah gempa baru msuk pemberitahuannya kalau pusat gempanya di mana, klo 10 menit baru ada pemberitahuan, nanti udah tsunami dulu baru pemberitahuannya masuk donk.. 😭😭😭😭",5,2024-08-21 22:21:26
Sangat membantu,5,2024-08-21 21:04:57
Pas,5,2024-08-21 20:24:48
belum masuk di branda,4,2024-08-21 20:06:57
Sangat membantu utk informasi cuaca dan gempa,5,2024-08-21 20:01:59
Pemberitahuan nya lebih lambat dari kejadian.. seharus nya pemberitahuan dulu supaya kita bisa waspada,5,2024-08-21 19:14:43
Ok,5,2024-08-20 21:16:30
semoga lebih membantu,5,2024-08-20 20:54:40
Bagus,5,2024-08-20 18:45:49
Ya membantu sekali untuk masyarakat Indonesia buat kalian Jan lupa di donlod ya,5,2024-08-20 16:56:25
Untuk aplikasi WRS-BMKG tolong di update Fitur umpan balik tidak bisa di akses,3,2024-08-20 16:14:30
Aplikasi yang bagus,5,2024-08-20 11:14:19
siapa yg download bmkg karena khawatir ama gempa megatrusht,5,2024-08-20 00:46:41
Hhe,5,2024-08-19 23:17:34
apk yg sangat membantu tapi hanya sedikit org yang tau,5,2024-08-19 17:09:18
bagus,4,2024-08-19 12:30:33
"Aplikasinya sangat bermanfaat, tolong ya dibuat cocok di hp android apapun, soalnya banyak aplikasi sekarang yg tidak suport di hp android jadul",5,2024-08-19 10:26:59
Bagus tapi di perbagus lgi,5,2024-08-19 03:53:31
semoga bisa membantu perkembangan tentang cuaca dan gempa bumi yg akan terjadi di daerah sendiri...👍🏻,5,2024-08-19 02:51:19
Baru tau ada aplikasi ini... Thanks kamar jery... Sekarang kalau ada gempa lagi di rumah bisa tau tanpa menunggu update story orang orang di wa...,5,2024-08-18 22:42:15
Oke punya,5,2024-08-18 21:24:14
Sangat membantu,5,2024-08-18 20:03:40
Membantu dalam mengetahui situadi gempa di sekitar kita.,5,2024-08-18 18:56:05
Nice,5,2024-08-18 17:59:32
Baik,5,2024-08-18 15:43:55
Sangat baik,3,2024-08-18 13:04:03
Aplikasinya bagus nih,5,2024-08-18 05:25:26
"Setiap ada gempa, notifikasinya ada 2, tolong bisa tidak notifikasinya 1 kali saja, terima kasih",4,2024-08-18 04:03:59
Info yg terbaik dan terpenting,5,2024-08-18 00:18:25
"Tolong kepada pihak BMKG untuk pemberitahuan terkait GEMPA sebaiknya di tiadakan, jujur kami yg dari lombok merasakan ketakutan dari berita tersebut,kami kembali trauma lagi,sebaikan beritakan tentang cuaca saja,untuk gempa sebaiknya tidak",4,2024-08-17 22:02:43
Okkk,5,2024-08-17 17:29:59
Sangat membantu,5,2024-08-17 10:56:43
"Aplikasinya bagus, cuma Cara seting suara notif kalo ada gempa gimna ya,,,",5,2024-08-17 09:23:39
Bagus dan membantu,4,2024-08-17 04:58:22
Berguna,5,2024-08-16 21:39:22
Aku berharap sangat bisa bermanfaat ya,5,2024-08-16 20:33:50
Sangat membantu,5,2024-08-16 20:06:52
Gak real-time,1,2024-08-16 18:43:06
Aplikasi sangat berguna 👍👍👍,5,2024-08-16 16:41:44
Makasih banyak,5,2024-08-16 14:24:35
Plis aku takut bgt katanya ada gempa jadi aku download ini,5,2024-08-16 12:55:26
Sangat berguna,5,2024-08-16 10:56:03
"Sangat membantu untung mencari informasi terkini, terutama cuaca",5,2024-08-16 10:52:06
Update lagi fiturnya kayak di jepang sesuai lokasi supaya kalo ada gempa yang lebih dekat agar di munculkan notifikasi yang lebih oke seperti muncul di layar dan suara notif yang besar,3,2024-08-16 06:49:08
Kenapa tak bisa digunakan / terpakai,1,2024-08-16 05:54:19
Mantap,5,2024-08-16 01:31:20
YA Allah lindungi kami,5,2024-08-16 00:09:59
aplikasi ini sangat bagus dan berguna,5,2024-08-15 23:59:59
"Gabisa dibukaa, stuck di logo aja😡",1,2024-08-15 23:30:28
Sangat membantu sekali,5,2024-08-15 20:59:03
loading banget y ampun di buka ny lama bangetttttt,3,2024-08-15 20:41:47
Berguna banget,4,2024-08-15 20:34:51
Kenapa gempah bumi allahuakbar,5,2024-08-15 20:19:12
"Aplikasi bagus,dan bijak",5,2024-08-15 20:04:44
Goood,5,2024-08-15 19:45:50
👍👍👍👍,5,2024-08-15 19:41:32
"Aplikasi BMKG ini sangat bagus,hanya saja tidak ada peringatan dini gempa bumi/tsunami 😄😄😄",5,2024-08-15 19:40:49
Klo bisa tambahin fitur buat tanya tanya semisal kita ingin tahu hal yang harus dilakukan saat bencana karna fitur ini akan sangat membantu,5,2024-08-15 18:05:17
ini penting sih,5,2024-08-15 16:06:55
tolong kasih notif alarm bunyi yg keras jika terjadi gempa / stunami kaya orang jepang pas ada bencana otomatis semua orang dapet notif alarm bencana takutnya bencana nya tengah malem orang lagi tidur gak tahu,3,2024-08-15 14:23:32
Sangat membantu dalam memperoleh informasi,5,2024-08-15 11:48:17
Ini Bagus,5,2024-08-15 09:57:35
Sangat membantu,5,2024-08-15 08:50:15
"Semoga megathrust yg di prediksi tidak berdampak buruk, dan semoga kita semua selalu dalam lindungan Tuhan yg Maha Esa. Aamiiin Ya Robbal'alamin.",5,2024-08-15 03:38:00
