Komentar,Bintang,Tanggal,clean_text,Sentimen,Aspek_Terdeteksi,Confidence_Score
Informasi suhu cuaca real-time tidak serasi dengan sumber lainnya,3,2024-10-29 20:01:15,informasi suhu cuaca real time tidak serasi dengan sumber lainnya,Netral,Akurasi,0.6019582152366638
I love BMKG Gowa,5,2024-10-28 18:03:56,i love bmkg gowa,Positif,UI/UX,0.4215121865272522
"Cukup akurat.. Tapi tolong untuk cuaca di bagusin interfacenya.. Dlm bentuk tabel ke bawah aja lbh bgs,dan di beri tanggal nya jg.. Cape saya scroll2 nya untuk liat cuaca ampe 1-2 minggu ke dpn..semoga di respon dan di perbaiki.. Terima kasih",5,2024-10-28 15:29:53,cukup akurat tapi tolong untuk cuaca di bagusin interfacenya dlm bentuk tabel ke bawah aja lbh bgs dan di beri tanggal nya jg cape saya scroll2 nya untuk liat cuaca ampe 1 2 minggu ke dpn semoga di respon dan di perbaiki terima kasih,Positif,Akurasi,0.9897742867469788
Keren banget,5,2024-10-27 17:49:07,keren banget,Positif,Akurasi,0.3768501579761505
Semangat terus BMKG dalam mengembangkan aplikasi nya. Satu-satunya aplikasi pemerintah yang saya sukai,5,2024-10-26 13:02:05,semangat terus bmkg dalam mengembangkan aplikasi nya satu satunya aplikasi pemerintah yang saya sukai,Positif,UI/UX,0.7345817685127258
"Overall aplikasinya sudah bagus, tetapi tolong dong min untuk notifikasi gempa di munculkan saat gempa yang letak lokasinya dekat dengan lokasi user jangan munculkan setiap ada gempa yang jarak lokasinya jauh dari user. rada risih soalnya",2,2024-10-25 00:34:40,overall aplikasinya sudah bagus tetapi tolong dong min untuk notifikasi gempa di munculkan saat gempa yang letak lokasinya dekat dengan lokasi user jangan munculkan setiap ada gempa yang jarak lokasinya jauh dari user rada risih soalnya,Negatif,UI/UX,0.822431206703186
"Sangat membantu, saat ada gempa jadi tau dimana lokasi nya",5,2024-10-24 07:29:11,sangat membantu saat ada gempa jadi tau dimana lokasi nya,Positif,Akurasi,0.9003472924232483
Just helpful,5,2024-10-24 04:24:40,just helpful,Positif,UI/UX,0.4761606752872467
Crash mulu appnya setidaknya ga terlalu up to date alrmnya aplikasinya yg bagus,1,2024-10-23 12:22:28,crash mulu appnya setidaknya ga terlalu up to date alrmnya aplikasinya yg bagus,Negatif,Performa,0.6498992443084717
Prediksi cuaca tidak akurat..,1,2024-10-22 20:53:42,prediksi cuaca tidak akurat,Negatif,Akurasi,0.5113846659660339
Pengiriman Informasi gempa terlalu lambat,3,2024-10-21 17:21:11,pengiriman informasi gempa terlalu lambat,Netral,Performa,0.8955568075180054
Bagus aku suka,5,2024-10-21 16:31:09,bagus aku suka,Positif,Akurasi,0.41353365778923035
tolong buatin widget sekalian min,5,2024-10-19 23:27:43,tolong buatin widget sekalian min,Positif,UI/UX,0.6412144899368286
kesini karena rekomendasi mimin shina,5,2024-10-18 16:26:45,kesini karena rekomendasi mimin shina,Positif,UI/UX,0.44100168347358704
Mohon tambahin fitur widget biar masyarakat tau posisi cuaca lokasi sekitar...,4,2024-10-16 10:44:42,mohon tambahin fitur widget biar masyarakat tau posisi cuaca lokasi sekitar,Positif,UI/UX,0.4961707592010498
Sudah oke,5,2024-10-14 17:27:03,sudah oke,Positif,Akurasi,0.4053201973438263
Bnkg emang sanggat bagus sekali,5,2024-10-14 15:20:54,bnkg emang sanggat bagus sekali,Positif,Akurasi,0.45642566680908203
Tampilan di tablet untuk kotak cuaca per jam suka terpotong.,4,2024-10-13 08:06:55,tampilan di tablet untuk kotak cuaca per jam suka terpotong,Positif,UI/UX,0.5275427103042603
Ok!!,5,2024-10-12 17:04:29,ok,Positif,UI/UX,0.3781708776950836
"Pendeteksi Gempa Bumi Dan Peringatan Tsunami, Peringatan Gunung Meletus, Informasi Cuaca Akurat,serta Perubahan Yang terbaik untuk latar belakang tersebut..",4,2024-10-10 06:41:47,pendeteksi gempa bumi dan peringatan tsunami peringatan gunung meletus informasi cuaca akurat serta perubahan yang terbaik untuk latar belakang tersebut,Positif,Akurasi,0.994162917137146
"bagus, mengtahui sangat berfungsi dengan baik",4,2024-10-09 19:18:21,bagus mengtahui sangat berfungsi dengan baik,Positif,Akurasi,0.40654024481773376
Bagus dan akurat,5,2024-10-09 18:50:14,bagus dan akurat,Positif,UI/UX,0.5261058211326599
Sayang aplikasinya telat update.kalo ada gempa,1,2024-10-08 21:20:52,sayang aplikasinya telat update kalo ada gempa,Negatif,Performa,0.948592483997345
mantab 👍😁,5,2024-10-07 18:12:35,mantab,Positif,UI/UX,0.38833269476890564
sangat kurang akurat,2,2024-10-07 11:44:27,sangat kurang akurat,Negatif,Performa,0.5686078071594238
Terima kasih.Sangat membantu masyarakat,5,2024-10-06 07:25:26,terima kasih sangat membantu masyarakat,Positif,UI/UX,0.4043625593185425
bagus lengkap akurat 👍👍👍,5,2024-10-06 05:25:38,bagus lengkap akurat,Positif,UI/UX,0.4455317258834839
Untuk melihat jam pasang atau surutnya air laut saya masih belum menemukannya.,4,2024-10-05 13:57:39,untuk melihat jam pasang atau surutnya air laut saya masih belum menemukannya,Positif,Performa,0.7966217398643494
Perkiraan cuacanya ngawur banget. SDM dan teknologinya katrok.,1,2024-10-05 03:04:35,perkiraan cuacanya ngawur banget sdm dan teknologinya katrok,Negatif,Performa,0.9731805324554443
"kak aplikasi punya saya kepencet bahasa inggris, mau di kembalikan bahasa Indonesia tidak bisa, mohon petunjuk nya biar bisa bahasa Indonesia lagi. nanti kalau sudah bisa bahasa Indonesia saya ganti rating, terimakasih.",3,2024-10-04 11:46:31,kak aplikasi punya saya kepencet bahasa inggris mau di kembalikan bahasa indonesia tidak bisa mohon petunjuk nya biar bisa bahasa indonesia lagi nanti kalau sudah bisa bahasa indonesia saya ganti rating terimakasih,Netral,UI/UX,0.6668003797531128
bagusb,5,2024-10-01 21:32:50,bagusb,Positif,UI/UX,0.3864074647426605
Terimakasih BMKG apk ini sangat membantu🙏🙏,5,2024-10-01 17:52:01,terimakasih bmkg apk ini sangat membantu,Positif,UI/UX,0.7319963574409485
Oya sebelum nya saya nyuwun ngampunten geh mas saya belum dapat bantuan dari bansos atas nama pak budi prasetyo di jragung jogotirto berbah sleman rt 05 rw 02 kelurahan jogotirto berbah sleman kecamatan nya berbah sleman yogyakarta mas Terima kasih mas,5,2024-10-01 10:15:40,oya sebelum nya saya nyuwun ngampunten geh mas saya belum dapat bantuan dari bansos atas nama pak budi prasetyo di jragung jogotirto berbah sleman rt 05 rw 02 kelurahan jogotirto berbah sleman kecamatan nya berbah sleman yogyakarta mas terima kasih mas,Positif,UI/UX,0.4568660259246826
membantu banget buat saya yang mau mantau daerah gunung yang mau saya daki,5,2024-09-30 12:17:05,membantu banget buat saya yang mau mantau daerah gunung yang mau saya daki,Positif,Performa,0.4211663603782654
Sering tepat prakiraan cuaca.,5,2024-09-30 01:49:32,sering tepat prakiraan cuaca,Positif,Akurasi,0.9952673316001892
Sangat akurat dan membantu,5,2024-09-28 14:24:05,sangat akurat dan membantu,Positif,UI/UX,0.5098280310630798
"notifikasinya gk akurat gempa udah selesai, ini notfikasi peringatan gempa baru datang. Hadeh 😒",1,2024-09-26 15:19:50,notifikasinya gk akurat gempa udah selesai ini notfikasi peringatan gempa baru datang hadeh,Negatif,Performa,0.517761766910553
"Kenapa notifikasi gempa bumi tidak aktif lagi saat ini...saya download aplikasi ini buat itu...agar saya merasa tenang, karena saya punya keluarga di daerah rawan gempa/tsunami (Padang)...",4,2024-09-26 11:20:01,kenapa notifikasi gempa bumi tidak aktif lagi saat ini saya download aplikasi ini buat itu agar saya merasa tenang karena saya punya keluarga di daerah rawan gempa tsunami padang,Positif,UI/UX,0.46676990389823914
Menu Radar di apl nya gak bisa kebuka 😐😓,3,2024-09-26 01:45:57,menu radar di apl nya gak bisa kebuka,Netral,UI/UX,0.8607372641563416
Saya langsung kasih 5 walaupun mau coba...,5,2024-09-25 20:49:54,saya langsung kasih 5 walaupun mau coba,Positif,UI/UX,0.34306013584136963
intinya berguna,5,2024-09-25 16:19:23,intinya berguna,Positif,UI/UX,0.47018954157829285
"Tolong tambahkan banyak kota dibagian kualitas udara, karena bagian itu masih sedikit, atau tidak ada pilihan wilayah pengguna. Dan juga tambah fitur zoom gambar dibagian peringatan cuaca. Terima kasih.",1,2024-09-25 14:01:35,tolong tambahkan banyak kota dibagian kualitas udara karena bagian itu masih sedikit atau tidak ada pilihan wilayah pengguna dan juga tambah fitur zoom gambar dibagian peringatan cuaca terima kasih,Negatif,Akurasi,0.6332958340644836
"Aplikasinya mengalami peningkatan pesat, baik dari tampilan maupun fiturnya",5,2024-09-25 13:45:57,aplikasinya mengalami peningkatan pesat baik dari tampilan maupun fiturnya,Positif,UI/UX,0.9898048043251038
"Ngasih info selalu telat, baru kejadian dikasih tau, seharusnya sebelum kejadian kasih tau.. contoh saat hujan",2,2024-09-24 17:54:45,ngasih info selalu telat baru kejadian dikasih tau seharusnya sebelum kejadian kasih tau contoh saat hujan,Negatif,Akurasi,0.9088044762611389
"Notif tdk akurat..cuaca oanas,masa notifnya badai akan dtg lalu hujan..nah panas sekali dimakassar,rusak kali alat kalian",4,2024-09-24 11:54:48,notif tdk akurat cuaca oanas masa notifnya badai akan dtg lalu hujan nah panas sekali dimakassar rusak kali alat kalian,Positif,Performa,0.6171197295188904
"Aplikasinya bagus, lebih bagus lagi di kasih peringatan dini seperti di jepang",5,2024-09-24 10:44:37,aplikasinya bagus lebih bagus lagi di kasih peringatan dini seperti di jepang,Positif,UI/UX,0.9732673168182373
"Aplikasi ini perfect, dengan fitur yg mudah dipahami dan memberikan informasi yg kompleks. Perkembangan yg keren dari versi sebelumnya",5,2024-09-24 08:18:37,aplikasi ini perfect dengan fitur yg mudah dipahami dan memberikan informasi yg kompleks perkembangan yg keren dari versi sebelumnya,Positif,UI/UX,0.9899052381515503
Sangat mendukung,5,2024-09-24 07:17:52,sangat mendukung,Positif,Akurasi,0.39365366101264954
"diprediksi hujan berpetir, hujan nggak ada petir nggak ada ... prediksi cerah berawan malahan turun hujan",1,2024-09-23 20:16:46,diprediksi hujan berpetir hujan nggak ada petir nggak ada prediksi cerah berawan malahan turun hujan,Negatif,Performa,0.413501113653183
Masih mencoba. Smoga bagus.,4,2024-09-23 18:31:48,masih mencoba smoga bagus,Positif,Performa,0.3416854441165924
"Bagus Tapi kalau ada gempa 3 SR, 4 SR kok nggak muncul di notif ya. Kenapa ya",4,2024-09-22 20:30:15,bagus tapi kalau ada gempa 3 sr 4 sr kok nggak muncul di notif ya kenapa ya,Positif,Akurasi,0.6803930997848511
Bmkg knp ya sekarang kalau ada gempa tidak ada pmberitahuan nya,3,2024-09-21 21:01:55,bmkg knp ya sekarang kalau ada gempa tidak ada pmberitahuan nya,Netral,Akurasi,0.5093458294868469
mantap untuk informasi cuaca,4,2024-09-21 20:05:19,mantap untuk informasi cuaca,Positif,Akurasi,0.8990496397018433
Aplikasi setelah bencana kalau ini bukan aplikasi sebelum bencana.. 1 menit setelah gempa aja ga ada notif dimana letak gempa belum Ter update...,1,2024-09-21 12:28:04,aplikasi setelah bencana kalau ini bukan aplikasi sebelum bencana 1 menit setelah gempa aja ga ada notif dimana letak gempa belum ter update,Negatif,UI/UX,0.9391816854476929
luar biasa,5,2024-09-21 06:48:17,luar biasa,Positif,UI/UX,0.41904550790786743
Payah ada gempa tapi ga ada notif nya.,1,2024-09-21 06:39:04,payah ada gempa tapi ga ada notif nya,Negatif,Performa,0.43590134382247925
Update informasi tentang gempa terkini sangat amat lama. Bahkan tadi sudah 10 menit belum ada informasi tentang gempa yang baru saja terjadi.,1,2024-09-21 06:39:02,update informasi tentang gempa terkini sangat amat lama bahkan tadi sudah 10 menit belum ada informasi tentang gempa yang baru saja terjadi,Negatif,Akurasi,0.526376485824585
Udah bagus tapi notifikasi gempanya lambat banget masuk 1 jam setelah gempa terjadi baru ada data kordinat masuk,3,2024-09-21 06:35:19,udah bagus tapi notifikasi gempanya lambat banget masuk 1 jam setelah gempa terjadi baru ada data kordinat masuk,Netral,Performa,0.9714540243148804
"Tidak update, padahal barusan ada gempa tpi tidak mncul",2,2024-09-21 06:34:41,tidak update padahal barusan ada gempa tpi tidak mncul,Negatif,Performa,0.7459666132926941
Tidak bisa kasih peringatan dini sebelum adanya gempa dan notifikasi gempa yang terjadi tidak up to date,1,2024-09-21 06:33:42,tidak bisa kasih peringatan dini sebelum adanya gempa dan notifikasi gempa yang terjadi tidak up to date,Negatif,Performa,0.6951397061347961
Tidak update,1,2024-09-21 06:33:31,tidak update,Negatif,Performa,0.5528692603111267
Kenapa baru² ini tidak ada notifikasi adanya gempa? Mohon diperbaiki kedepannya.. Terimakasih,4,2024-09-21 01:28:00,kenapa baru² ini tidak ada notifikasi adanya gempa mohon diperbaiki kedepannya terimakasih,Positif,Performa,0.382050096988678
Bmkg emang the best,5,2024-09-20 19:55:26,bmkg emang the best,Positif,UI/UX,0.47609513998031616
Ya demi keselamatan lah,5,2024-09-20 00:32:55,ya demi keselamatan lah,Positif,Akurasi,0.39012160897254944
Mantap sangat membantu👌,5,2024-09-19 14:34:42,mantap sangat membantu,Positif,UI/UX,0.3944872319698334
TOLONG PERBAIKI TIDAK ADA LAGI NOTIFIKASI GEMPA,1,2024-09-18 22:34:22,tolong perbaiki tidak ada lagi notifikasi gempa,Negatif,Performa,0.37046006321907043
Alhamdulillah sangat bermanfaat,5,2024-09-18 20:49:49,alhamdulillah sangat bermanfaat,Positif,UI/UX,0.3641635477542877
Terimakasih.semoga memberi manfaat sesuai yang di butuhkan,5,2024-09-18 17:56:34,terimakasih semoga memberi manfaat sesuai yang di butuhkan,Positif,UI/UX,0.41940486431121826
Bagus dan bermanfaat,5,2024-09-18 16:03:22,bagus dan bermanfaat,Positif,UI/UX,0.41323304176330566
Tidak sesuai dengan keadaan. Di apk berawan aslinya hujan.,1,2024-09-18 06:20:42,tidak sesuai dengan keadaan di apk berawan aslinya hujan,Negatif,UI/UX,0.9254651665687561
"bgus aplikasi nya, semoga bisa diandalkan kayak aplikasi "" peringatan dini seperti di jepang, untuk yg kasih masukan untuk menambahkan live chat di aplikasi, atau komentar gitu, setuju sih saya.",5,2024-09-17 13:41:34,bgus aplikasi nya semoga bisa diandalkan kayak aplikasi peringatan dini seperti di jepang untuk yg kasih masukan untuk menambahkan live chat di aplikasi atau komentar gitu setuju sih saya,Positif,UI/UX,0.8992218375205994
"Makin sini notif gempa makin ga ada, padahal hari ini gempa sukabumi dan deket ke aku. Tapi ga ada notif sama sekali.",3,2024-09-16 19:24:33,makin sini notif gempa makin ga ada padahal hari ini gempa sukabumi dan deket ke aku tapi ga ada notif sama sekali,Netral,Performa,0.4553348124027252
"Ckp membantu, semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly...bravo BMKG",4,2024-09-16 19:10:03,ckp membantu semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly bravo bmkg,Positif,Akurasi,0.3538230359554291
Notif gempa tidak ada ?,3,2024-09-16 09:50:02,notif gempa tidak ada,Netral,Akurasi,0.5193749666213989
Ini kenapa sudah 1bulan notif bmkg ga muncul ya kalo tidak dibuka ke apknya . Biasanya ada terus lho min. Dan ket sett apk itu on notif,5,2024-09-15 18:01:37,ini kenapa sudah 1bulan notif bmkg ga muncul ya kalo tidak dibuka ke apknya biasanya ada terus lho min dan ket sett apk itu on notif,Positif,UI/UX,0.7696475982666016
Admin kenapa tidak notifikasi gempa seperti dulu? Tolong kembalikan notif setiap ada gempa,5,2024-09-15 12:34:57,admin kenapa tidak notifikasi gempa seperti dulu tolong kembalikan notif setiap ada gempa,Positif,Akurasi,0.5682726502418518
pas sebelum gempa palu saya download ini pas saya liat mengtudo sangat sangat besar makasih BMKG anda telah membantu saya dan keluarga saya makasih,5,2024-09-14 18:11:00,pas sebelum gempa palu saya download ini pas saya liat mengtudo sangat sangat besar makasih bmkg anda telah membantu saya dan keluarga saya makasih,Positif,Performa,0.6355825662612915
Info Penting harus punya 🙂,5,2024-09-14 17:01:01,info penting harus punya,Positif,Performa,0.4642835259437561
"Gak ada kualitas udara di jawa tengah,jawa barat, jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia",5,2024-09-13 22:35:28,gak ada kualitas udara di jawa tengah jawa barat jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia,Positif,UI/UX,0.609312117099762
"Terkadang d aplikasi ini tidak sesuai dengan d aplikasi, aplikasi timur tapi cuaca menunjukan ke salatan MTA arah angin.....tolong d perbaiki lagi",1,2024-09-12 09:49:41,terkadang d aplikasi ini tidak sesuai dengan d aplikasi aplikasi timur tapi cuaca menunjukan ke salatan mta arah angin tolong d perbaiki lagi,Negatif,UI/UX,0.9724091291427612
Mending pemerintah kerjasama dgn negara jepang tentang teknologi nya agar sekian detik sbelum terjadinya gempa kita tidak terlalu kaget dgn adanya gempa,1,2024-09-12 01:13:13,mending pemerintah kerjasama dgn negara jepang tentang teknologi nya agar sekian detik sbelum terjadinya gempa kita tidak terlalu kaget dgn adanya gempa,Negatif,Akurasi,0.8921388983726501
"Tolong diperbaiki, pemberitahuan info gempa tidak muncul... padahal handphone sudah sy reset pengaturan pabrik",1,2024-09-11 19:31:07,tolong diperbaiki pemberitahuan info gempa tidak muncul padahal handphone sudah sy reset pengaturan pabrik,Negatif,UI/UX,0.6373859643936157
tidak ada widget update cuaca 24 jam! kalah sama aplikasi sejenis! harusnya bmkg mengadakan widget cuaca 24 jam agar kita tidak perlu masuk ke aplikasinya jika ingin update cuaca.!,1,2024-09-11 08:12:48,tidak ada widget update cuaca 24 jam kalah sama aplikasi sejenis harusnya bmkg mengadakan widget cuaca 24 jam agar kita tidak perlu masuk ke aplikasinya jika ingin update cuaca,Negatif,UI/UX,0.8388704061508179
"Desain simple dan bagus, mudah di pahami berserta memberi glorasium untuk memahami istilah yang masih asing di orang awam. Saya berterima kasih pada app ini...",5,2024-09-10 22:26:44,desain simple dan bagus mudah di pahami berserta memberi glorasium untuk memahami istilah yang masih asing di orang awam saya berterima kasih pada app ini,Positif,UI/UX,0.9972985982894897
Punya belajar apk my shake penjelasan apk BMKG sebelum jepang gempa besar teknologi 1 Januari 2024,1,2024-09-10 16:36:44,punya belajar apk my shake penjelasan apk bmkg sebelum jepang gempa besar teknologi 1 januari 2024,Negatif,UI/UX,0.7376818060874939
"Kadang heran ini bmkg ya,, prakiran atau gimna si,, sudah terjadi baru kasih info,, seperti hujan saja hujan sudah reda keluar peringatan info terkini katanya akan di guyur hujan, heyyy saya sudah tau hujan nya juga sudah reda",3,2024-09-10 13:01:31,kadang heran ini bmkg ya prakiran atau gimna si sudah terjadi baru kasih info seperti hujan saja hujan sudah reda keluar peringatan info terkini katanya akan di guyur hujan heyyy saya sudah tau hujan nya juga sudah reda,Netral,Akurasi,0.7690743803977966
Jelek,1,2024-09-09 16:29:47,jelek,Negatif,UI/UX,0.3830655813217163
Sangat membantu informasinya.,5,2024-09-09 10:51:06,sangat membantu informasinya,Positif,UI/UX,0.5371717214584351
Aplikasi yg baru utk masyarakat. Mohon ada notifikasi atau pemberitahuan bila mana ada gempa bumi yg terdekat dengan pengguna Atau ada settingan notifikasi. Terima kasih,5,2024-09-09 10:38:01,aplikasi yg baru utk masyarakat mohon ada notifikasi atau pemberitahuan bila mana ada gempa bumi yg terdekat dengan pengguna atau ada settingan notifikasi terima kasih,Positif,UI/UX,0.8664140105247498
"Bikin hp psnas padahal sedang tidak digunakan, setelah uninstall hp menjadi dingin kembali",1,2024-09-09 05:21:54,bikin hp psnas padahal sedang tidak digunakan setelah uninstall hp menjadi dingin kembali,Negatif,Performa,0.8937748670578003
Apk ini sangat bermanfaat bagi saya trimakasih atas karya nya..,5,2024-09-08 20:14:27,apk ini sangat bermanfaat bagi saya trimakasih atas karya nya,Positif,UI/UX,0.9268264174461365
"Cuaca lokal sering nya kurang tepat dgn keadaan sebenarnya. Terkadang juga sedikit terlambat. Utk saat ini, saya kasih bintang 3,5 deh",4,2024-09-08 12:58:28,cuaca lokal sering nya kurang tepat dgn keadaan sebenarnya terkadang juga sedikit terlambat utk saat ini saya kasih bintang 3 5 deh,Positif,Performa,0.6569826602935791
Kalau bisa tambahin Mode Gelap dong......karena mata saya ga bisa liat layar terang terlalu lama🙏🏼,5,2024-09-08 06:28:32,kalau bisa tambahin mode gelap dong karena mata saya ga bisa liat layar terang terlalu lama,Positif,Performa,0.3635272681713104
Kirim info test test ga jelas developer nya,1,2024-09-08 05:49:36,kirim info test test ga jelas developer nya,Negatif,UI/UX,0.5977948307991028
Sangat sangat tidak akurat,1,2024-09-07 23:01:17,sangat sangat tidak akurat,Negatif,Performa,0.5765168070793152
Untuk aplikasinya akurat cuman ada yang kurang yaitu tambahin widget dong,4,2024-09-07 22:47:55,untuk aplikasinya akurat cuman ada yang kurang yaitu tambahin widget dong,Positif,UI/UX,0.9844916462898254
"Ini kok ada notice tertulis "" test test "" dari BMKG ya ? 7 sept 2024 jam 22.16",3,2024-09-07 22:18:00,ini kok ada notice tertulis test test dari bmkg ya 7 sept 2024 jam 22 16,Netral,Akurasi,0.7570869326591492
Hai bisa tambah hin pendeteksian organisasi eropa German supaya Kalimantan tidak di kuasai eropa German secara diam diam,5,2024-09-07 11:23:15,hai bisa tambah hin pendeteksian organisasi eropa german supaya kalimantan tidak di kuasai eropa german secara diam diam,Positif,UI/UX,0.4073741137981415
"Informasi sangat lambat, saat ada gempa bumi tidak langsung update infonya Menunggu sampai 10mnt lebih baru keluar infonya Kalo semisal ada bencana lebih parah bisa bisa sudah porak poranda baru muncul peringatannya Sedangkan bencana gempa bumi ataupun sunami bisa terjadi dalam hitungan detik saja",3,2024-09-07 10:07:02,informasi sangat lambat saat ada gempa bumi tidak langsung update infonya menunggu sampai 10mnt lebih baru keluar infonya kalo semisal ada bencana lebih parah bisa bisa sudah porak poranda baru muncul peringatannya sedangkan bencana gempa bumi ataupun sunami bisa terjadi dalam hitungan detik saja,Netral,Performa,0.9590045809745789
"2x kek gini, lelet amat update info gempa. Keburu mati dulu baru ada notifikasi.",1,2024-09-07 09:08:15,2x kek gini lelet amat update info gempa keburu mati dulu baru ada notifikasi,Negatif,Performa,0.9736219644546509
cukup,4,2024-09-07 09:07:36,cukup,Positif,UI/UX,0.3729638159275055
Pemberitahuannya sangat lambat,1,2024-09-07 09:00:09,pemberitahuannya sangat lambat,Negatif,Performa,0.8911672234535217
Aplikasi tolol gempa besar lambat update,1,2024-09-07 09:00:01,aplikasi tolol gempa besar lambat update,Negatif,Performa,0.9234664440155029
Lama update gempa,2,2024-09-07 08:57:03,lama update gempa,Negatif,Performa,0.5023685693740845
"Aplikasi nya sangat membantu sekali,dan baik sekali ,dan semoga kedepan nya ada pengaturan tentang peringatan alaram sebelum akan terjadinya bencana biar lebih waspada lagi dalam peringatan nya... dan aplikasinya lebih baik lagi ... semoga lebih cepat pas ada gempa ,gpp dri yang lebih kecil gempanya infoin aja biar tau cepat ,terimakasih",5,2024-09-07 02:51:41,aplikasi nya sangat membantu sekali dan baik sekali dan semoga kedepan nya ada pengaturan tentang peringatan alaram sebelum akan terjadinya bencana biar lebih waspada lagi dalam peringatan nya dan aplikasinya lebih baik lagi semoga lebih cepat pas ada gempa gpp dri yang lebih kecil gempanya infoin aja biar tau cepat terimakasih,Positif,UI/UX,0.7395288944244385
Terbantu,5,2024-09-06 16:25:04,terbantu,Positif,UI/UX,0.4369048774242401
"Hai team BMKG sebenarnya aplikasi nya sudah bagus untuk pengetahuan kita kalangan Masyarakat Namun masih banyak yg kekurangan nya Dan Tolong di perbaiki lagi update cuaca nya kadang masih ga akurat untuk info cuaca hr ini contoh nya info BMKG akan terjadi hujan, setalah cek ternyata ga ada hujan Tolong di perbaiki lagi ya Terima kasih",3,2024-09-05 20:10:38,hai team bmkg sebenarnya aplikasi nya sudah bagus untuk pengetahuan kita kalangan masyarakat namun masih banyak yg kekurangan nya dan tolong di perbaiki lagi update cuaca nya kadang masih ga akurat untuk info cuaca hr ini contoh nya info bmkg akan terjadi hujan setalah cek ternyata ga ada hujan tolong di perbaiki lagi ya terima kasih,Netral,UI/UX,0.9684609770774841
Up to date information,5,2024-09-05 16:03:40,up to date information,Positif,UI/UX,0.4880898892879486
Bagus cocok,5,2024-09-05 05:59:22,bagus cocok,Positif,Akurasi,0.39144474267959595
Saya juga mersakan ada nya guncangan tadi siang,5,2024-09-04 20:16:12,saya juga mersakan ada nya guncangan tadi siang,Positif,Akurasi,0.6919780373573303
Cara mengetahui gempanya berpotensi tsunami bagaimana yah??,4,2024-09-04 13:14:35,cara mengetahui gempanya berpotensi tsunami bagaimana yah,Positif,Akurasi,0.44464993476867676
"Apknya sudah bagus bisa mengetahui cepat/realtime info cuaca, gempa bumi, kondisi udara, yang saya tanyakan benar tidak info akan adanya gempa megathurst di indonesia? mohon dari pihak BMKG jelaskan terimakasih",5,2024-09-03 18:35:36,apknya sudah bagus bisa mengetahui cepat realtime info cuaca gempa bumi kondisi udara yang saya tanyakan benar tidak info akan adanya gempa megathurst di indonesia mohon dari pihak bmkg jelaskan terimakasih,Positif,UI/UX,0.5061994791030884
Dapat memantau langsung titik gempa dan peringatan cuaca dini hari,5,2024-09-02 22:01:12,dapat memantau langsung titik gempa dan peringatan cuaca dini hari,Positif,Akurasi,0.9752227663993835
Pas,5,2024-09-01 00:39:35,pas,Positif,UI/UX,0.416973739862442
Paan si gkjls GAK AKURAT,1,2024-08-30 18:04:01,paan si gkjls gak akurat,Negatif,Akurasi,0.5010495781898499
Sangat bermanfaat sekali krn bisa tau di Wilayah mn aj yg terkena musibah dan pemberitahusn nya pun jg cepat sekali,5,2024-08-29 20:32:41,sangat bermanfaat sekali krn bisa tau di wilayah mn aj yg terkena musibah dan pemberitahusn nya pun jg cepat sekali,Positif,Akurasi,0.5249210596084595
Tidak ada notifikasi pemberitahuan Kalo mau tau ada gempa atau tidaknya harus buka aplikasi dulu,1,2024-08-29 10:53:22,tidak ada notifikasi pemberitahuan kalo mau tau ada gempa atau tidaknya harus buka aplikasi dulu,Negatif,UI/UX,0.8411561250686646
Kumaha Allah,5,2024-08-28 18:30:27,kumaha allah,Positif,UI/UX,0.4141077995300293
makasih info infonya,5,2024-08-28 01:02:13,makasih info infonya,Positif,UI/UX,0.4151211380958557
good sustainable,5,2024-08-27 21:42:07,good sustainable,Positif,UI/UX,0.49862948060035706
"Sya pakai aplikasi ini untuk ngecek cuaca dan info gempa bumi di setiap daerah, mantap pokokonya Aplikasi ini",5,2024-08-27 13:15:48,sya pakai aplikasi ini untuk ngecek cuaca dan info gempa bumi di setiap daerah mantap pokokonya aplikasi ini,Positif,UI/UX,0.8152931332588196
"Bagus sudah, tapi coba tolong min aktifkan alarm gempa, 1 menit kek sebelum kejadian🥹",5,2024-08-27 05:22:10,bagus sudah tapi coba tolong min aktifkan alarm gempa 1 menit kek sebelum kejadian,Positif,Akurasi,0.708075761795044
sangat berguna,5,2024-08-26 23:26:14,sangat berguna,Positif,UI/UX,0.4967840015888214
good slalu berkembang,5,2024-08-26 21:30:00,good slalu berkembang,Positif,Akurasi,0.42788636684417725
Bisa dg cepat mengetahui pusat gempa,1,2024-08-26 20:56:20,bisa dg cepat mengetahui pusat gempa,Negatif,Akurasi,0.6777474880218506
Usulan usahakan sebelum terjadi kejadian diinfokan dulu notif nya biar masyarakat bisa tau dan jaga jaga terima kasih,1,2024-08-26 20:56:12,usulan usahakan sebelum terjadi kejadian diinfokan dulu notif nya biar masyarakat bisa tau dan jaga jaga terima kasih,Negatif,Performa,0.40849339962005615
pembodohan,1,2024-08-26 20:23:33,pembodohan,Negatif,UI/UX,0.4642695188522339
