Komentar,Bintang,Tanggal,clean_text,Emosi
Ok,5,2024-08-20 21:16:30,ok,bahagia
semoga lebih membantu,5,2024-08-20 20:54:40,semoga lebih membantu,bahagia
Bagus,5,2024-08-20 18:45:49,bagus,bahagia
Ya membantu sekali untuk masyarakat Indonesia buat kalian Jan lupa di donlod ya,5,2024-08-20 16:56:25,ya membantu sekali untuk masyarakat indonesia buat kalian jan lupa di donlod ya,bahagia
Untuk aplikasi WRS-BMKG tolong di update Fitur umpan balik tidak bisa di akses,3,2024-08-20 16:14:30,untuk aplikasi wrs bmkg tolong di update fitur umpan balik tidak bisa di akses,marah
Aplikasi yang bagus,5,2024-08-20 11:14:19,aplikasi yang bagus,bahagia
siapa yg download bmkg karena khawatir ama gempa megatrusht,5,2024-08-20 00:46:41,siapa yg download bmkg karena khawatir ama gempa megatrusht,takut
Hhe,5,2024-08-19 23:17:34,hhe,marah
apk yg sangat membantu tapi hanya sedikit org yang tau,5,2024-08-19 17:09:18,apk yg sangat membantu tapi hanya sedikit org yang tau,bahagia
bagus,4,2024-08-19 12:30:33,bagus,bahagia
"Aplikasinya sangat bermanfaat, tolong ya dibuat cocok di hp android apapun, soalnya banyak aplikasi sekarang yg tidak suport di hp android jadul",5,2024-08-19 10:26:59,aplikasinya sangat bermanfaat tolong ya dibuat cocok di hp android apapun soalnya banyak aplikasi sekarang yg tidak suport di hp android jadul,bahagia
Bagus tapi di perbagus lgi,5,2024-08-19 03:53:31,bagus tapi di perbagus lgi,marah
semoga bisa membantu perkembangan tentang cuaca dan gempa bumi yg akan terjadi di daerah sendiri...👍🏻,5,2024-08-19 02:51:19,semoga bisa membantu perkembangan tentang cuaca dan gempa bumi yg akan terjadi di daerah sendiri,takut
Baru tau ada aplikasi ini... Thanks kamar jery... Sekarang kalau ada gempa lagi di rumah bisa tau tanpa menunggu update story orang orang di wa...,5,2024-08-18 22:42:15,baru tau ada aplikasi ini thanks kamar jery sekarang kalau ada gempa lagi di rumah bisa tau tanpa menunggu update story orang orang di wa,bahagia
Oke punya,5,2024-08-18 21:24:14,oke punya,bahagia
Sangat membantu,5,2024-08-18 20:03:40,sangat membantu,bahagia
Membantu dalam mengetahui situadi gempa di sekitar kita.,5,2024-08-18 18:56:05,membantu dalam mengetahui situadi gempa di sekitar kita,marah
Nice,5,2024-08-18 17:59:32,nice,bahagia
Baik,5,2024-08-18 15:43:55,baik,bahagia
Sangat baik,3,2024-08-18 13:04:03,sangat baik,bahagia
Aplikasinya bagus nih,5,2024-08-18 05:25:26,aplikasinya bagus nih,bahagia
"Setiap ada gempa, notifikasinya ada 2, tolong bisa tidak notifikasinya 1 kali saja, terima kasih",4,2024-08-18 04:03:59,setiap ada gempa notifikasinya ada 2 tolong bisa tidak notifikasinya 1 kali saja terima kasih,takut
Info yg terbaik dan terpenting,5,2024-08-18 00:18:25,info yg terbaik dan terpenting,bahagia
"Tolong kepada pihak BMKG untuk pemberitahuan terkait GEMPA sebaiknya di tiadakan, jujur kami yg dari lombok merasakan ketakutan dari berita tersebut,kami kembali trauma lagi,sebaikan beritakan tentang cuaca saja,untuk gempa sebaiknya tidak",4,2024-08-17 22:02:43,tolong kepada pihak bmkg untuk pemberitahuan terkait gempa sebaiknya di tiadakan jujur kami yg dari lombok merasakan ketakutan dari berita tersebut kami kembali trauma lagi sebaikan beritakan tentang cuaca saja untuk gempa sebaiknya tidak,takut
Okkk,5,2024-08-17 17:29:59,okkk,bahagia
Sangat membantu,5,2024-08-17 10:56:43,sangat membantu,bahagia
"Aplikasinya bagus, cuma Cara seting suara notif kalo ada gempa gimna ya,,,",5,2024-08-17 09:23:39,aplikasinya bagus cuma cara seting suara notif kalo ada gempa gimna ya,takut
Bagus dan membantu,4,2024-08-17 04:58:22,bagus dan membantu,bahagia
Berguna,5,2024-08-16 21:39:22,berguna,bahagia
Aku berharap sangat bisa bermanfaat ya,5,2024-08-16 20:33:50,aku berharap sangat bisa bermanfaat ya,takut
Sangat membantu,5,2024-08-16 20:06:52,sangat membantu,bahagia
Gak real-time,1,2024-08-16 18:43:06,gak real time,sedih
Aplikasi sangat berguna 👍👍👍,5,2024-08-16 16:41:44,aplikasi sangat berguna,bahagia
Makasih banyak,5,2024-08-16 14:24:35,makasih banyak,bahagia
Plis aku takut bgt katanya ada gempa jadi aku download ini,5,2024-08-16 12:55:26,plis aku takut bgt katanya ada gempa jadi aku download ini,takut
Sangat berguna,5,2024-08-16 10:56:03,sangat berguna,bahagia
"Sangat membantu untung mencari informasi terkini, terutama cuaca",5,2024-08-16 10:52:06,sangat membantu untung mencari informasi terkini terutama cuaca,bahagia
Update lagi fiturnya kayak di jepang sesuai lokasi supaya kalo ada gempa yang lebih dekat agar di munculkan notifikasi yang lebih oke seperti muncul di layar dan suara notif yang besar,3,2024-08-16 06:49:08,update lagi fiturnya kayak di jepang sesuai lokasi supaya kalo ada gempa yang lebih dekat agar di munculkan notifikasi yang lebih oke seperti muncul di layar dan suara notif yang besar,marah
Kenapa tak bisa digunakan / terpakai,1,2024-08-16 05:54:19,kenapa tak bisa digunakan terpakai,sedih
Mantap,5,2024-08-16 01:31:20,mantap,bahagia
YA Allah lindungi kami,5,2024-08-16 00:09:59,ya allah lindungi kami,sedih
aplikasi ini sangat bagus dan berguna,5,2024-08-15 23:59:59,aplikasi ini sangat bagus dan berguna,bahagia
"Gabisa dibukaa, stuck di logo aja😡",1,2024-08-15 23:30:28,gabisa dibukaa stuck di logo aja,marah
Sangat membantu sekali,5,2024-08-15 20:59:03,sangat membantu sekali,bahagia
loading banget y ampun di buka ny lama bangetttttt,3,2024-08-15 20:41:47,loading banget y ampun di buka ny lama bangetttttt,marah
Berguna banget,4,2024-08-15 20:34:51,berguna banget,bahagia
Kenapa gempah bumi allahuakbar,5,2024-08-15 20:19:12,kenapa gempah bumi allahuakbar,bahagia
"Aplikasi bagus,dan bijak",5,2024-08-15 20:04:44,aplikasi bagus dan bijak,bahagia
Goood,5,2024-08-15 19:45:50,goood,bahagia
"Aplikasi BMKG ini sangat bagus,hanya saja tidak ada peringatan dini gempa bumi/tsunami 😄😄😄",5,2024-08-15 19:40:49,aplikasi bmkg ini sangat bagus hanya saja tidak ada peringatan dini gempa bumi tsunami,bahagia
Klo bisa tambahin fitur buat tanya tanya semisal kita ingin tahu hal yang harus dilakukan saat bencana karna fitur ini akan sangat membantu,5,2024-08-15 18:05:17,klo bisa tambahin fitur buat tanya tanya semisal kita ingin tahu hal yang harus dilakukan saat bencana karna fitur ini akan sangat membantu,takut
ini penting sih,5,2024-08-15 16:06:55,ini penting sih,bahagia
tolong kasih notif alarm bunyi yg keras jika terjadi gempa / stunami kaya orang jepang pas ada bencana otomatis semua orang dapet notif alarm bencana takutnya bencana nya tengah malem orang lagi tidur gak tahu,3,2024-08-15 14:23:32,tolong kasih notif alarm bunyi yg keras jika terjadi gempa stunami kaya orang jepang pas ada bencana otomatis semua orang dapet notif alarm bencana takutnya bencana nya tengah malem orang lagi tidur gak tahu,takut
Sangat membantu dalam memperoleh informasi,5,2024-08-15 11:48:17,sangat membantu dalam memperoleh informasi,bahagia
Ini Bagus,5,2024-08-15 09:57:35,ini bagus,bahagia
Sangat membantu,5,2024-08-15 08:50:15,sangat membantu,bahagia
"Semoga megathrust yg di prediksi tidak berdampak buruk, dan semoga kita semua selalu dalam lindungan Tuhan yg Maha Esa. Aamiiin Ya Robbal'alamin.",5,2024-08-15 03:38:00,semoga megathrust yg di prediksi tidak berdampak buruk dan semoga kita semua selalu dalam lindungan tuhan yg maha esa aamiiin ya robbal alamin,takut
Pesan dari saya mohon dari aplikasi BMKG jika bisa dibuatkan riwayat terjadinya fenomena alam ... Terima kasih banyak developer,5,2024-08-15 01:03:21,pesan dari saya mohon dari aplikasi bmkg jika bisa dibuatkan riwayat terjadinya fenomena alam terima kasih banyak developer,marah
testimoni dulu yh,5,2024-08-15 00:31:42,testimoni dulu yh,marah
Disuruh download sama vtuber PNS,5,2024-08-15 00:06:51,disuruh download sama vtuber pns,marah
Akurat sebagai informasi yg diperlukan oleh masyarakat,5,2024-08-14 23:56:24,akurat sebagai informasi yg diperlukan oleh masyarakat,bahagia
kesini gara2 ada berita mau ada gempa,4,2024-08-14 23:19:10,kesini gara2 ada berita mau ada gempa,takut
Tidak bisa masuk ke aplikasi suhu hp langsung naik ketika buka app ini,1,2024-08-14 22:38:38,tidak bisa masuk ke aplikasi suhu hp langsung naik ketika buka app ini,marah
jumlah rakyat Indonesia ada 200juta lebih aplikasi ini penting karna Indonesia rawan bencana harusnya min ada 50juta org yg download aplikasi ini,5,2024-08-14 21:29:00,jumlah rakyat indonesia ada 200juta lebih aplikasi ini penting karna indonesia rawan bencana harusnya min ada 50juta org yg download aplikasi ini,takut
Bagusssssss,4,2024-08-14 21:00:15,bagusssssss,bahagia
Digunakan untuk persiapan gempa megathrust 😣,5,2024-08-14 16:58:27,digunakan untuk persiapan gempa megathrust,takut
Kapan sih ada shake alarm seperti di jepang pas terjadi gempa langsung berdering alarmnya,1,2024-08-14 13:30:21,kapan sih ada shake alarm seperti di jepang pas terjadi gempa langsung berdering alarmnya,takut
bagus tapi waktu sore dibilang bakal hujan tapi gak hujan?,4,2024-08-14 12:48:46,bagus tapi waktu sore dibilang bakal hujan tapi gak hujan,bahagia
"Aplikasinya bagus. tapi, gak ada notifikasi bahaya ketika gempa ataupun tsunami. kalu bisa aplikasinya standart nya sama lah seperti jepang.",4,2024-08-14 09:50:50,aplikasinya bagus tapi gak ada notifikasi bahaya ketika gempa ataupun tsunami kalu bisa aplikasinya standart nya sama lah seperti jepang,bahagia
Good,5,2024-08-14 02:37:46,good,bahagia
"Ada baiknya di tambahkan alarm EWS pada aplikasi, jadi buat yg sudah menginstal bisa mendapatkan sinyal sebelum terjadinya bencana, seperti di Jepang , alarm sudah menyala, walaupun belum terjadi Gempa. Alangkah baiknya menambahkan EWS di aplikasi ini, karena sekarang mayoritas orang Indonesia lebih sering memegang Smartphone daripada menonton TV.",3,2024-08-13 23:07:59,ada baiknya di tambahkan alarm ews pada aplikasi jadi buat yg sudah menginstal bisa mendapatkan sinyal sebelum terjadinya bencana seperti di jepang alarm sudah menyala walaupun belum terjadi gempa alangkah baiknya menambahkan ews di aplikasi ini karena sekarang mayoritas orang indonesia lebih sering memegang smartphone daripada menonton tv,takut
Lama lama kok malah menurun ada gempa bumi GK muncul dan kalok muncul luamaaaa GK kayak dulu yg cepat beberapa detik muncul.... Tolong pentingkan informasi dan keselamatan masyarakat....,2,2024-08-13 10:13:05,lama lama kok malah menurun ada gempa bumi gk muncul dan kalok muncul luamaaaa gk kayak dulu yg cepat beberapa detik muncul tolong pentingkan informasi dan keselamatan masyarakat,takut
SUDAH GEMPA BERITANYA BARU NONGOL!!,1,2024-08-13 10:12:19,sudah gempa beritanya baru nongol,sedih
T o p,5,2024-08-13 06:28:30,t o p,takut
Aplikasi bagus banget mantap berguna untuk melihat mendeteksi gempa bumi,5,2024-08-11 00:19:25,aplikasi bagus banget mantap berguna untuk melihat mendeteksi gempa bumi,bahagia
"kalo bukan karena vtuber, aku malas untuk unduh aplikasinya. hmmpphh.",5,2024-08-10 02:39:49,kalo bukan karena vtuber aku malas untuk unduh aplikasinya hmmpphh,marah
Sangat membantu sekali...,5,2024-08-08 21:11:42,sangat membantu sekali,bahagia
"Aplikasi bagus,tapi kenapa BMKG.Gowa undurkan diri?, tolong jelaskan 🙏",4,2024-08-08 16:58:24,aplikasi bagus tapi kenapa bmkg gowa undurkan diri tolong jelaskan,marah
Saya senang lihat pertumbuhan awan hujan dari citra satelit,5,2024-08-08 12:41:26,saya senang lihat pertumbuhan awan hujan dari citra satelit,bahagia
Good,4,2024-08-08 06:12:36,good,bahagia
Top,5,2024-08-07 18:34:10,top,marah
Bermanfaat,5,2024-08-07 08:26:36,bermanfaat,bahagia
Good,5,2024-08-07 04:40:52,good,bahagia
Sangat bermanfaat,5,2024-08-04 10:02:50,sangat bermanfaat,bahagia
Akan ku unduh demi waifu baru... 😋,5,2024-08-04 08:39:39,akan ku unduh demi waifu baru,marah
Mau ngecek kualitas udara di daerah sendiri malah gabisa. Berkali2 coba klik tp cuma ngeloading aja.,2,2024-08-04 00:24:18,mau ngecek kualitas udara di daerah sendiri malah gabisa berkali2 coba klik tp cuma ngeloading aja,bahagia
Bagus,5,2024-08-02 18:33:24,bagus,bahagia
Bagus,3,2024-08-02 12:42:27,bagus,bahagia
aplikasi yang sungguh sempurna di infokan di apl tersebut sore hujan ternyata muncul hujan!!!!!!,5,2024-08-02 11:51:35,aplikasi yang sungguh sempurna di infokan di apl tersebut sore hujan ternyata muncul hujan,bahagia
SAYA SETUJU DENGAN POSTINGAN INI,5,2024-08-02 10:53:05,saya setuju dengan postingan ini,bahagia
Aplikasi bagus,5,2024-08-02 00:26:44,aplikasi bagus,bahagia
Mantap dan bagus,5,2024-07-31 20:20:08,mantap dan bagus,bahagia
"Sangat membantu, terimakasih developer, maju terus semakin baik kedepannya.",5,2024-07-31 19:53:43,sangat membantu terimakasih developer maju terus semakin baik kedepannya,marah
Tolong tambahkan fitur widget supaya bisa di tampilkan di beranda,5,2024-07-31 17:44:29,tolong tambahkan fitur widget supaya bisa di tampilkan di beranda,marah
Tidak akurat cuaca hujan,1,2024-07-31 12:32:57,tidak akurat cuaca hujan,sedih
Berguna👍👍👍,5,2024-07-30 06:47:06,berguna,bahagia
Download aplikasi ini karena disuruh Shinna ☺,5,2024-07-29 19:25:08,download aplikasi ini karena disuruh shinna,marah
mantap akurat dan tepat,5,2024-07-28 17:24:58,mantap akurat dan tepat,bahagia
Gw kesini karena shinna wkwk,5,2024-07-28 16:02:18,gw kesini karena shinna wkwk,sedih
The best aplikasi se Indonesia belum lagi maskotnya vtuber,5,2024-07-26 20:01:25,the best aplikasi se indonesia belum lagi maskotnya vtuber,bahagia
"Kurang akurat, masa angin dari selatan tenggara katanya dari timur laut",3,2024-07-25 14:35:47,kurang akurat masa angin dari selatan tenggara katanya dari timur laut,marah
Bagus,5,2024-07-24 06:35:15,bagus,bahagia
"Mantaaaaaaappp, memuaskan 👍👍👍",5,2024-07-22 17:32:20,mantaaaaaaappp memuaskan,bahagia
Informasi sangat akurat,5,2024-07-20 05:32:43,informasi sangat akurat,bahagia
Info ini luar biasa ada bencana alam seperti gempa atau lainnya,4,2024-07-19 10:35:50,info ini luar biasa ada bencana alam seperti gempa atau lainnya,bahagia
Ga ada widgetnya 😭 padahan penting banget biar ga ribet buka aplikasi tinggal cek di layar depan.,1,2024-07-17 23:53:10,ga ada widgetnya padahan penting banget biar ga ribet buka aplikasi tinggal cek di layar depan,marah
"Bisa mendeteksi gempa bumi, namun kadang-kadang tdk terdeteksi. Seperti gempa kemarin di batang, barusan di batang dan Wonosobo. Padahal saya lihat di laman BMKG fb ada gempa susulan . Di aplikasi ini gak muncul Mohon untuk ditingkatkan lagi Terimakasih",4,2024-07-16 23:21:33,bisa mendeteksi gempa bumi namun kadang kadang tdk terdeteksi seperti gempa kemarin di batang barusan di batang dan wonosobo padahal saya lihat di laman bmkg fb ada gempa susulan di aplikasi ini gak muncul mohon untuk ditingkatkan lagi terimakasih,bahagia
di tingkatkan lagi,4,2024-07-16 22:53:51,di tingkatkan lagi,bahagia
Thanks BMKG,5,2024-07-16 16:17:25,thanks bmkg,bahagia
"Ok ,, terimakasih",5,2024-07-15 22:40:01,ok terimakasih,bahagia
Ok terima kasih,5,2024-07-15 19:39:24,ok terima kasih,bahagia
Bagus tingkatkan lagi,5,2024-07-15 09:11:01,bagus tingkatkan lagi,bahagia
"Kurang akurat menurut saya, karena saya tinggal di ketinggian 2000mdpl dan udah memasuki musim dingin. Kenapa di aplikasi ini menunjukkan suhu di angka 29⁰ di malam hari wkwkwk.",1,2024-07-14 19:03:14,kurang akurat menurut saya karena saya tinggal di ketinggian 2000mdpl dan udah memasuki musim dingin kenapa di aplikasi ini menunjukkan suhu di angka 29⁰ di malam hari wkwkwk,marah
Bagus dan akurat lumyan,5,2024-07-13 21:27:21,bagus dan akurat lumyan,marah
Tolong lebih akurat lagi untuk info cuacanya... Harus lebih tepat untuk update cuacanya.. Ini sangat penting untuk kami yang berprofesi sebagai nelayan.,2,2024-07-12 07:30:48,tolong lebih akurat lagi untuk info cuacanya harus lebih tepat untuk update cuacanya ini sangat penting untuk kami yang berprofesi sebagai nelayan,marah
"Hmm cukup informatif, semoga update kedepannya ada penambahan widget",5,2024-07-12 03:12:36,hmm cukup informatif semoga update kedepannya ada penambahan widget,marah
Info yg sangat berguna bagi masyarakat banyak,5,2024-07-12 00:44:18,info yg sangat berguna bagi masyarakat banyak,bahagia
Sangat membantu sekali aplikasi ini untuk menganalisis pola sebaran gempa...,5,2024-07-11 21:35:59,sangat membantu sekali aplikasi ini untuk menganalisis pola sebaran gempa,bahagia
Bagus,5,2024-07-11 20:34:10,bagus,bahagia
Trimakasih bagus,5,2024-07-11 19:48:27,trimakasih bagus,bahagia
Cukup membantu disetiap perjalanan saya 🙏🏽,5,2024-07-11 17:41:57,cukup membantu disetiap perjalanan saya,bahagia
Sangat membantu,5,2024-07-11 12:52:28,sangat membantu,bahagia
Bagus👍👍,5,2024-07-11 10:04:32,bagus,bahagia
Sangat membantu,5,2024-07-11 09:55:13,sangat membantu,bahagia
👍👍👍👍GOog,5,2024-07-11 00:00:16,goog,marah
info,5,2024-07-10 23:01:14,info,marah
Sangat membantu dalam memberikan informasi,5,2024-07-10 22:59:58,sangat membantu dalam memberikan informasi,bahagia
Perlu di update yg lebih maju lagi,2,2024-07-10 14:54:24,perlu di update yg lebih maju lagi,marah
Sangat membantu untuk perencanaan aktifitas,5,2024-07-10 14:49:19,sangat membantu untuk perencanaan aktifitas,bahagia
Aplikasi BMKG membantu,5,2024-07-10 06:12:09,aplikasi bmkg membantu,bahagia
Berguna banget kalo ada bencana,4,2024-07-09 22:40:00,berguna banget kalo ada bencana,takut
"Bagus,sllu update info",5,2024-07-09 21:23:08,bagus sllu update info,bahagia
Sering mbereset,3,2024-07-09 21:08:37,sering mbereset,marah
Ok,5,2024-07-09 20:26:47,ok,bahagia
"membantu, walaupun kadang sedikit kurang akurat.",5,2024-07-09 18:42:47,membantu walaupun kadang sedikit kurang akurat,sedih
"Aplikasi Sangat bagus, bermanfaat bagi saya pemancing laut",5,2024-07-09 17:07:02,aplikasi sangat bagus bermanfaat bagi saya pemancing laut,bahagia
Bagus,5,2024-07-09 16:31:02,bagus,bahagia
Good n uptodate,5,2024-07-09 15:30:33,good n uptodate,bahagia
Aplikasi yang harus disebarluaskan ke masyarakat. Penjelasan tentang bencana jelas dan cepat. Prakiraan cuaca juga rutin di daerah dan sekitar. Berita kegiatan terbaru juga ada,5,2024-07-08 22:24:36,aplikasi yang harus disebarluaskan ke masyarakat penjelasan tentang bencana jelas dan cepat prakiraan cuaca juga rutin di daerah dan sekitar berita kegiatan terbaru juga ada,bahagia
Mantull,5,2024-07-08 09:43:28,mantull,takut
Semoga guna dan manfaat bagi kita semua,4,2024-07-07 04:52:44,semoga guna dan manfaat bagi kita semua,bahagia
Bagus,5,2024-07-06 08:45:54,bagus,bahagia
Kklo ada widget pasti lebih bagus,5,2024-07-05 20:25:00,kklo ada widget pasti lebih bagus,bahagia
Sangat bermanfaat bagi para pendaki dan yang suka kegiatan outdoor,5,2024-07-04 07:30:51,sangat bermanfaat bagi para pendaki dan yang suka kegiatan outdoor,bahagia
"Aplikasi saat dibuka pasti force close, lama loading tingkatkan lagi",2,2024-07-04 07:00:45,aplikasi saat dibuka pasti force close lama loading tingkatkan lagi,bahagia
Ok,4,2024-07-03 16:27:20,ok,bahagia
"Parah jelek prediksi cuacanya tdak akurat, tdk cepat update tentang gempa, apk nya tdk sbgus dlu jangan di download.",1,2024-07-03 05:36:57,parah jelek prediksi cuacanya tdak akurat tdk cepat update tentang gempa apk nya tdk sbgus dlu jangan di download,sedih
Sangat membantu saya di dalam mengamalkan ilmu perbincangan.,5,2024-07-01 22:10:21,sangat membantu saya di dalam mengamalkan ilmu perbincangan,bahagia
"Payah gps nya sangat tidak akurat, masak saya di pulau menui ketika diaktifkan gps nya jadi di wawonii Jadi prakiraan cuacanya tidak tepat",3,2024-06-28 18:01:31,payah gps nya sangat tidak akurat masak saya di pulau menui ketika diaktifkan gps nya jadi di wawonii jadi prakiraan cuacanya tidak tepat,sedih
Terimakasih BMKG,5,2024-06-28 06:35:46,terimakasih bmkg,bahagia
"Aplikasi ini penting sekali untuk mengetahui perkiraan cuaca kusus di daerah kita sendiri,ups semoga aplikasinya bagus terus.",5,2024-06-25 16:55:37,aplikasi ini penting sekali untuk mengetahui perkiraan cuaca kusus di daerah kita sendiri ups semoga aplikasinya bagus terus,bahagia
Aplikasi paling waras dan paling berguna oleh pemerintah cuma ini doang.....,5,2024-06-24 23:00:05,aplikasi paling waras dan paling berguna oleh pemerintah cuma ini doang,bahagia
Mantap,5,2024-06-24 04:39:18,mantap,bahagia
"Aplikasi sampah, tidak bisa di bukak",1,2024-06-23 14:43:30,aplikasi sampah tidak bisa di bukak,sedih
"Saya klik pakai gps malah terdeteksi lokasi di Mantrijeron padahal saya tinggal di daerah Mlati, jauh banget dan pas jualan sunmor di dekat fakultas peternakan ugm titiknya malah di ringroad Utara",1,2024-06-23 06:59:58,saya klik pakai gps malah terdeteksi lokasi di mantrijeron padahal saya tinggal di daerah mlati jauh banget dan pas jualan sunmor di dekat fakultas peternakan ugm titiknya malah di ringroad utara,bahagia
zidane,5,2024-06-21 07:25:33,zidane,sedih
Hebat sekali,5,2024-06-21 03:25:28,hebat sekali,bahagia
Sangat membantu,4,2024-06-20 22:23:11,sangat membantu,bahagia
"enak yang dulu, ga banyak feature, lebih mudah.",3,2024-06-19 21:40:04,enak yang dulu ga banyak feature lebih mudah,bahagia
Sangat membantu,5,2024-06-19 16:02:52,sangat membantu,bahagia
OK lah👍👍,5,2024-06-16 06:31:33,ok lah,bahagia
Bagus,5,2024-06-15 15:58:43,bagus,bahagia
"aplikasi ga jelas ramalan cuacanya klaim 90% akurat tapi yg sering terjadi malah 10% alias ga akurat, sama aja kayak aplikasi bawaan oppo yg gajelas kirain lebih bagus, peringatan akan hujan lebat jam 14.30 notifikasinya muncul jam 4 🤡🤡🤡🤡... Apa gunanya? Uninstalling this app 👎",1,2024-06-15 13:13:09,aplikasi ga jelas ramalan cuacanya klaim 90 akurat tapi yg sering terjadi malah 10 alias ga akurat sama aja kayak aplikasi bawaan oppo yg gajelas kirain lebih bagus peringatan akan hujan lebat jam 14 30 notifikasinya muncul jam 4 apa gunanya uninstalling this app,takut
Ok bagus,5,2024-06-12 17:13:32,ok bagus,bahagia
Zidane,5,2024-06-11 07:31:01,zidane,sedih
Coba di udate lagi aplikasinya soalnya insfo tinggi gelombang laut tidak ada,1,2024-06-10 13:08:09,coba di udate lagi aplikasinya soalnya insfo tinggi gelombang laut tidak ada,marah
Untuk daerah sumbar lama banget keluar info gempanya..keseringan info ug diluar sumbar,3,2024-06-10 06:16:01,untuk daerah sumbar lama banget keluar info gempanya keseringan info ug diluar sumbar,marah
"ini kenapa ga bisa dibuka aplikasi nya? malah ngestuck, jaringan bagus lancar. buka ini malah kaya berat bgt.",1,2024-06-08 02:40:27,ini kenapa ga bisa dibuka aplikasi nya malah ngestuck jaringan bagus lancar buka ini malah kaya berat bgt,sedih
Bagus aplikasi nya bisa megetahui gampa,5,2024-06-07 21:41:29,bagus aplikasi nya bisa megetahui gampa,bahagia
Tidak akurat tentang cuaca,3,2024-06-07 16:15:45,tidak akurat tentang cuaca,sedih
Ke sini gegara admin stageof.gowa wkwkk naik ini gaji nya min :v,5,2024-06-04 16:51:11,ke sini gegara admin stageof gowa wkwkk naik ini gaji nya min v,marah
Ok,5,2024-06-02 11:45:29,ok,bahagia
Baik,5,2024-06-02 04:40:10,baik,bahagia
Mantaf,5,2024-06-01 16:33:12,mantaf,bahagia
Suka mendengar info,5,2024-05-31 18:12:48,suka mendengar info,bahagia
Bagus,5,2024-05-29 20:39:30,bagus,bahagia
Disuruh download sama Atmin BMKG stage of Gowa 😁,5,2024-05-29 11:23:40,disuruh download sama atmin bmkg stage of gowa,marah
Sangat membantu sekali 👍👍👍,5,2024-05-28 23:25:07,sangat membantu sekali,bahagia
"Informasinya sangat up-to-date, semoga bisa terus improve",5,2024-05-28 18:02:19,informasinya sangat up to date semoga bisa terus improve,bahagia
Cukup lumayan informatif.. Semoga makin mantaaabbb,5,2024-05-26 16:48:08,cukup lumayan informatif semoga makin mantaaabbb,bahagia
Mantaap!!,5,2024-05-26 14:32:20,mantaap,bahagia
"Aplikasi yg cukup membantu untuk dapat info bencana, cuaca, dan kualitas udara. Yg kurang hanya informasi real time bila terjadi gempa butuh waktu delay sekitar 20 menit dari waktu kejadian. Moga bisa ditingkatkan untuk waktu informasi gempanya seperti di Jepang yg bisa beri informasi darurat semenit sebelum gempa terjadi",4,2024-05-26 11:15:17,aplikasi yg cukup membantu untuk dapat info bencana cuaca dan kualitas udara yg kurang hanya informasi real time bila terjadi gempa butuh waktu delay sekitar 20 menit dari waktu kejadian moga bisa ditingkatkan untuk waktu informasi gempanya seperti di jepang yg bisa beri informasi darurat semenit sebelum gempa terjadi,takut
"Beberapa menit yang lalu gempa di sumbar, tp aplikasi tidak ada memberikan info juga di sosmed",1,2024-05-26 10:59:10,beberapa menit yang lalu gempa di sumbar tp aplikasi tidak ada memberikan info juga di sosmed,marah
Sangat Bagus 👍,5,2024-05-24 09:50:08,sangat bagus,bahagia
Saran lebih baik pake yang versi web nya,3,2024-05-23 16:29:53,saran lebih baik pake yang versi web nya,marah
Aplikasi ini sangat berguna untuk mengetahui dimna gempa.,4,2024-05-22 22:54:07,aplikasi ini sangat berguna untuk mengetahui dimna gempa,marah
MANTAP,5,2024-05-22 04:02:14,mantap,bahagia
Ok,5,2024-05-21 23:58:45,ok,bahagia
App....,5,2024-05-21 19:49:10,app,sedih
"Aplikasinya sudah sangat bagus bisa tahu kapan terjadinya gempa ,semoga kedepan nya lebih bagus lagi dan banyak fitur yang lain yang bermanfaat lagi ... semoga ada alaram sebelum gempa terjadi juga biar persiapan .. 🙂🙂🙂",5,2024-05-21 00:56:23,aplikasinya sudah sangat bagus bisa tahu kapan terjadinya gempa semoga kedepan nya lebih bagus lagi dan banyak fitur yang lain yang bermanfaat lagi semoga ada alaram sebelum gempa terjadi juga biar persiapan,bahagia
gempa ya panawangan,5,2024-05-20 15:44:42,gempa ya panawangan,takut
Tertulis cuaca cerah setu tangsel jam 3 sore tgl 17 mei 2024 ternyata hujan. Apk bmkg tolol.,1,2024-05-17 15:08:02,tertulis cuaca cerah setu tangsel jam 3 sore tgl 17 mei 2024 ternyata hujan apk bmkg tolol,sedih
"Setelah update notifikasi cuaca buruk malah di hilangkan, sisa notifikasi gempa gak bener",4,2024-05-17 14:28:12,setelah update notifikasi cuaca buruk malah di hilangkan sisa notifikasi gempa gak bener,takut
"aplikasi udah bagus, tapi coba di ubah lagi seperti di Jepang. Sebelum gempa udah ada sirine untuk semua harus keluar dari dalam rumah, atau gak bisalah pas gempa langsung bunyi itu peringatannya.Mungkin bisa membantu saat gempa pas tengah malam, smoga ada peningkatannya🙏, u*ng 271 T pdahal cukup loh buat yg gini",4,2024-05-17 04:18:07,aplikasi udah bagus tapi coba di ubah lagi seperti di jepang sebelum gempa udah ada sirine untuk semua harus keluar dari dalam rumah atau gak bisalah pas gempa langsung bunyi itu peringatannya mungkin bisa membantu saat gempa pas tengah malam smoga ada peningkatannya u ng 271 t pdahal cukup loh buat yg gini,takut
Bagus,5,2024-05-15 21:49:41,bagus,bahagia
Sangat berguna untuk kita semua,5,2024-05-15 14:49:33,sangat berguna untuk kita semua,bahagia
